HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L1_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.89596e+11	6.59137e+06	0.000402216	0	-2.61285e-16
	 	 	2	0.0121808	3.84907e+11	6.5431e+06	0.000418301	0	2.09028e-15
	 	 	3	0.0184067	3.77951e+11	6.52468e+06	0.000425829	0	-2.61285e-15
	 	 	4	0.0137168	3.72836e+11	6.51674e+06	0.000429448	0	-1.30643e-16
	 	 	5	0.00830271	3.69766e+11	6.51253e+06	0.000431333	0	2.61285e-16
	 	 	6	0.00455586	3.68089e+11	6.51037e+06	0.000432408	0	1.829e-15
	 	 	7	0.00267547	3.67107e+11	6.50927e+06	0.000432936	0	3.52735e-15
	 	 	8	0.00142004	3.66587e+11	6.50857e+06	0.000433244	0	1.43707e-15
	 	 	9	0.000751063	3.66312e+11	6.50815e+06	0.000433423	0	-1.43707e-15
	 	 	10	0.000407111	3.66162e+11	6.50792e+06	0.000433525	0	7.83856e-16
	 	 	11	0.000224856	3.6608e+11	6.50778e+06	0.000433582	0	2.22093e-15
	 	 	12	0.000125166	3.66034e+11	6.50771e+06	0.000433613	0	7.83856e-16
	 	 	13	6.98292e-05	3.66009e+11	6.50767e+06	0.000433631	0	2.09028e-15
	 	 	14	3.89696e-05	3.65995e+11	6.50764e+06	0.000433641	0	2.48221e-15
	 	 	15	2.17464e-05	3.65987e+11	6.50763e+06	0.000433646	0	-1.829e-15
	 	 	16	1.21348e-05	3.65982e+11	6.50762e+06	0.00043365	0	1.17578e-15
	 	 	17	6.77143e-06	3.6598e+11	6.50762e+06	0.000433651	0	-2.61285e-16
