HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L1.3_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../../Corotating_planet_grid/M1.0_fcore0.3_S4.0c/M1.0_fcore0.3_S4.0c_AM0.0/Output/M1.0_fcore0.3_S4.0c_L0_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.89596e+11	6.59137e+06	0.000522881	0	-4.01977e-16
	 	 	2	0.0548498	3.69338e+11	6.56787e+06	0.000539726	0	-2.61285e-15
	 	 	3	0.0368937	3.56196e+11	6.55908e+06	0.000547113	0	-8.03955e-16
	 	 	4	0.0209858	3.48875e+11	6.55423e+06	0.000550906	0	1.20593e-15
	 	 	5	0.0111949	3.45013e+11	6.5513e+06	0.000553069	0	-4.01977e-16
	 	 	6	0.00609053	3.42924e+11	6.54949e+06	0.000554271	0	1.40692e-15
	 	 	7	0.00321709	3.41824e+11	6.54832e+06	0.000554992	0	8.03955e-16
	 	 	8	0.00174779	3.41228e+11	6.54784e+06	0.000555404	0	-2.00989e-16
	 	 	9	0.00112041	3.40846e+11	6.54774e+06	0.000555566	0	-4.01977e-16
	 	 	10	0.000628901	3.40632e+11	6.54767e+06	0.000555647	0	-2.61285e-15
	 	 	11	0.000308466	3.40527e+11	6.54758e+06	0.000555704	0	2.00989e-16
	 	 	12	0.000157647	3.40473e+11	6.54753e+06	0.000555739	0	-1.00494e-15
	 	 	13	8.53733e-05	3.40444e+11	6.54749e+06	0.000555759	0	2.81384e-15
	 	 	14	4.76036e-05	3.40428e+11	6.54748e+06	0.00055577	0	-2.00989e-16
	 	 	15	2.67388e-05	3.40419e+11	6.54747e+06	0.000555776	0	-3.01483e-15
	 	 	16	1.5011e-05	3.40414e+11	6.54746e+06	0.00055578	0	2.21088e-15
	 	 	17	8.41404e-06	3.40411e+11	6.54746e+06	0.000555782	0	-6.02966e-16
	 	 	18	4.71221e-06	3.40409e+11	6.54745e+06	0.000555783	0	8.03955e-16
	 	 	19	2.63831e-06	3.40408e+11	6.54745e+06	0.000555784	0	-1.60791e-15
	 	 	20	1.47712e-06	3.40408e+11	6.54745e+06	0.000555784	0	1.20593e-15
	 	 	21	8.27021e-07	3.40407e+11	6.54745e+06	0.000555784	0	2.61285e-15
	 	 	22	4.6305e-07	3.40407e+11	6.54745e+06	0.000555784	0	-1.20593e-15
	 	 	23	2.59265e-07	3.40407e+11	6.54745e+06	0.000555784	0	0
	 	 	24	1.45165e-07	3.40407e+11	6.54745e+06	0.000555784	0	2.41186e-15
	 	 	25	8.12787e-08	3.40407e+11	6.54745e+06	0.000555784	0	-2.00989e-15
	 	 	26	4.55084e-08	3.40407e+11	6.54745e+06	0.000555784	0	-6.02966e-16
	 	 	27	2.54808e-08	3.40407e+11	6.54745e+06	0.000555784	0	-2.00989e-16
	 	 	28	1.42668e-08	3.40407e+11	6.54745e+06	0.000555784	0	-2.81384e-15
	 	 	29	7.98811e-09	3.40407e+11	6.54745e+06	0.000555784	0	-1.20593e-15
	 1	0.0394337	6.54745e+06	1	0.000284972	0.000284972	0.000555784	3.12554e-09	-1.20593e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.27985e+11	6.78414e+06	0.000527357	0	-2.21088e-15
	 	 	2	0.0425933	3.42576e+11	6.77565e+06	0.000526226	0	-1.40692e-15
	 	 	3	0.0181608	3.48913e+11	6.77568e+06	0.000524852	0	0
	 	 	4	0.00800239	3.51728e+11	6.77719e+06	0.000523791	0	6.02966e-16
	 	 	5	0.003692	3.53031e+11	6.77849e+06	0.000523063	0	-6.02966e-16
	 	 	6	0.0018846	3.53698e+11	6.78115e+06	0.000521928	0	2.00989e-16
	 	 	7	0.00157693	3.54256e+11	6.78011e+06	0.000522124	0	-8.03955e-16
