HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L2.5_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../Earth_correct_params_S3.20c/Earth_correct_params_S3.20c_AM2.1/Output/Earth_correct_params_S3.20c_L2.1_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.17287e+11	7.65143e+06	0.000800416	0	3.34445e-15
	 	 	2	0.11379	2.84871e+11	7.74368e+06	0.000778283	0	1.4632e-15
	 	 	3	0.0326843	2.75855e+11	7.75855e+06	0.000773585	0	-8.36113e-16
	 	 	4	0.00993585	2.73141e+11	7.76024e+06	0.000772837	0	-4.18057e-16
	 	 	5	0.00281148	2.72376e+11	7.76034e+06	0.000772735	0	1.4632e-15
	 	 	6	0.000710873	2.72182e+11	7.76032e+06	0.000772724	0	-6.27085e-16
	 	 	7	0.000160249	2.72139e+11	7.76032e+06	0.000772723	0	1.04514e-15
	 	 	8	3.27009e-05	2.7213e+11	7.76032e+06	0.000772723	0	-2.09028e-15
	 	 	9	6.12764e-06	2.72128e+11	7.76031e+06	0.000772723	0	-1.25417e-15
	 	 	10	1.0628e-06	2.72128e+11	7.76031e+06	0.000772723	0	2.50834e-15
	 	 	11	1.70623e-07	2.72128e+11	7.76031e+06	0.000772723	0	-1.88125e-15
	 	 	12	2.50825e-08	2.72128e+11	7.76031e+06	0.000772723	0	-2.09028e-16
	 	 	13	3.27226e-09	2.72128e+11	7.76031e+06	0.000772723	0	2.09028e-15
	 1	0.0149994	7.76031e+06	0.659207	0.751962	1.14071	0.000772723	1.79787e-16	2.09028e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.59595e+11	8.04024e+06	0.000748245	0	-6.27085e-16
	 	 	2	0.0345519	2.68885e+11	8.05293e+06	0.000737635	0	1.04514e-15
	 	 	3	0.0287611	2.76848e+11	8.05084e+06	0.000734532	0	-4.18057e-16
	 	 	4	0.0179	2.81893e+11	8.0481e+06	0.000733645	0	2.09028e-15
	 	 	5	0.00954817	2.84611e+11	8.04684e+06	0.000733187	0	-8.36113e-16
	 	 	6	0.00504931	2.86055e+11	8.04644e+06	0.000732905	0	4.18057e-16
	 	 	7	0.00249793	2.86772e+11	8.04796e+06	0.000731999	0	2.29931e-15
	 	 	8	0.00208454	2.87371e+11	8.04666e+06	0.000732299	0	-1.4632e-15
	 	 	9	0.000622379	2.8755e+11	8.04648e+06	0.000732356	0	-2.09028e-16
	 	 	10	0.000173633	2.876e+11	8.04646e+06	0.000732365	0	-1.04514e-15
	 	 	11	4.41951e-05	2.87612e+11	8.04645e+06	0.000732366	0	6.27085e-16
	 	 	12	1.02275e-05	2.87615e+11	8.04645e+06	0.000732366	0	4.18057e-16
	 	 	13	2.15551e-06	2.87616e+11	8.04646e+06	0.000732366	0	-1.88125e-15
	 	 	14	4.14656e-07	2.87616e+11	8.04646e+06	0.000732366	0	1.25417e-15
	 	 	15	7.27312e-08	2.87616e+11	8.04646e+06	0.000732366	0	-6.27085e-16
	 	 	16	1.15199e-08	2.87616e+11	8.04646e+06	0.000732366	0	4.18057e-16
	 	 	17	1.59991e-09	2.87616e+11	8.04646e+06	0.000732366	0	-6.27085e-16
	 2	0.0166964	8.04646e+06	0.595848	0.803097	1.34782	0.000732366	-1.79787e-16	-6.27085e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.82957e+11	8.12196e+06	0.000723342	0	2.09028e-15
	 	 	2	0.0151678	2.87315e+11	8.11858e+06	0.000722665	0	-1.25417e-15
	 	 	3	0.00756458	2.89505e+11	8.119e+06	0.000721564	0	0
	 	 	4	0.00492398	2.90937e+11	8.11327e+06	0.000723493	0	-4.18057e-16
	 	 	5	5.87586e-05	2.90955e+11	8.117e+06	0.000722095	0	-2.09028e-15
	 	 	6	0.001396	2.91361e+11	8.11593e+06	0.000722319	0	2.09028e-16
	 	 	7	0.000425838	2.91485e+11	8.11576e+06	0.000722365	0	8.36113e-16
	 	 	8	0.000122639	2.91521e+11	8.11574e+06	0.000722373	0	-2.29931e-15
	 	 	9	3.21538e-05	2.91531e+11	8.11574e+06	0.000722374	0	8.36113e-16
	 	 	10	7.63432e-06	2.91533e+11	8.11574e+06	0.000722374	0	1.04514e-15
	 	 	11	1.64607e-06	2.91533e+11	8.11574e+06	0.000722374	0	-1.4632e-15
	 	 	12	3.23839e-07	2.91533e+11	8.11574e+06	0.000722374	0	4.18057e-16
	 	 	13	5.82742e-08	2.91533e+11	8.11574e+06	0.000722374	0	3.13542e-15
	 	 	14	9.55193e-09	2.91533e+11	8.11574e+06	0.000722374	0	-2.09028e-16
	 3	0.00470495	8.11574e+06	0.582791	0.812622	1.39436	0.000722374	0	-2.09028e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.89853e+11	8.13667e+06	0.000718596	0	0
	 	 	2	0.00675355	2.91824e+11	8.13244e+06	0.000719494	0	1.88125e-15
	 	 	3	0.00184865	2.92365e+11	8.1318e+06	0.000719672	0	0
	 	 	4	0.000498783	2.92511e+11	8.13172e+06	0.000719701	0	-1.04514e-15
	 	 	5	0.000127722	2.92548e+11	8.13172e+06	0.000719705	0	-1.67223e-15
	 	 	6	3.00846e-05	2.92557e+11	8.13172e+06	0.000719705	0	1.4632e-15
	 	 	7	6.45906e-06	2.92559e+11	8.13172e+06	0.000719705	0	1.4632e-15
	 	 	8	1.26552e-06	2.92559e+11	8.13172e+06	0.000719705	0	2.09028e-16
	 	 	9	2.26557e-07	2.92559e+11	8.13172e+06	0.000719705	0	1.04514e-15
	 	 	10	3.68618e-08	2.92559e+11	8.13172e+06	0.000719705	0	-3.13542e-15
	 	 	11	5.34184e-09	2.92559e+11	8.13172e+06	0.000719705	0	-4.18057e-16
	 4	0.00132033	8.13172e+06	0.579639	0.814873	1.40583	0.000719705	1.79787e-16	-4.18057e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.91959e+11	8.13631e+06	0.000718662	0	1.04514e-15
	 	 	2	0.00219334	2.92601e+11	8.13503e+06	0.000718934	0	-8.36113e-16
	 	 	3	0.000565305	2.92767e+11	8.13484e+06	0.000718988	0	-1.67223e-15
	 	 	4	0.000148046	2.9281e+11	8.13481e+06	0.000718996	0	6.27085e-16
	 	 	5	3.77157e-05	2.92821e+11	8.13481e+06	0.000718998	0	1.88125e-15
	 	 	6	8.90644e-06	2.92824e+11	8.13481e+06	0.000718998	0	-8.36113e-16
	 	 	7	1.91825e-06	2.92824e+11	8.13481e+06	0.000718998	0	2.09028e-16
	 	 	8	3.76724e-07	2.92824e+11	8.13481e+06	0.000718998	0	2.09028e-16
	 	 	9	6.75519e-08	2.92824e+11	8.13481e+06	0.000718998	0	2.71737e-15
	 	 	10	1.10038e-08	2.92824e+11	8.13481e+06	0.000718998	0	-2.50834e-15
	 	 	11	1.596e-09	2.92824e+11	8.13481e+06	0.000718998	0	1.67223e-15
	 5	0.000319523	8.13481e+06	0.578848	0.815436	1.40872	0.000718998	3.59574e-16	1.67223e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.9261e+11	8.13563e+06	0.000718712	0	8.36113e-16
	 	 	2	0.000723613	2.92821e+11	8.13524e+06	0.000718796	0	-1.88125e-15
	 	 	3	0.00017587	2.92873e+11	8.13518e+06	0.000718812	0	4.18057e-16
	 	 	4	4.44964e-05	2.92886e+11	8.13517e+06	0.000718815	0	-8.36113e-16
	 	 	5	1.12542e-05	2.92889e+11	8.13517e+06	0.000718815	0	4.18057e-16
	 	 	6	2.66252e-06	2.9289e+11	8.13517e+06	0.000718815	0	1.88125e-15
	 	 	7	5.74961e-07	2.9289e+11	8.13517e+06	0.000718815	0	-1.25417e-15
	 	 	8	1.13127e-07	2.9289e+11	8.13517e+06	0.000718815	0	-1.67223e-15
	 	 	9	2.0311e-08	2.9289e+11	8.13517e+06	0.000718815	0	-2.29931e-15
	 	 	10	3.31222e-09	2.9289e+11	8.13517e+06	0.000718815	0	1.04514e-15
	 6	6.94751e-05	8.13517e+06	0.578644	0.81558	1.40947	0.000718815	-1.79787e-16	1.04514e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.92812e+11	8.13526e+06	0.000718734	0	-1.67223e-15
	 	 	2	0.000247908	2.92884e+11	8.13513e+06	0.000718761	0	1.67223e-15
	 	 	3	5.72508e-05	2.92901e+11	8.13511e+06	0.000718766	0	-2.09028e-16
	 	 	4	1.40154e-05	2.92905e+11	8.13511e+06	0.000718767	0	-2.09028e-15
	 	 	5	3.51995e-06	2.92906e+11	8.13511e+06	0.000718767	0	-1.88125e-15
	 	 	6	8.34473e-07	2.92906e+11	8.13511e+06	0.000718767	0	2.09028e-15
	 	 	7	1.80717e-07	2.92906e+11	8.13511e+06	0.000718767	0	-1.4632e-15
	 	 	8	3.56287e-08	2.92906e+11	8.13511e+06	0.000718767	0	1.25417e-15
	 	 	9	6.40515e-09	2.92906e+11	8.13511e+06	0.000718767	0	8.36113e-16
	 7	1.35936e-05	8.13511e+06	0.57859	0.815618	1.40966	0.000718767	3.59574e-16	8.36113e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.92877e+11	8.13506e+06	0.000718741	0	4.18057e-16
	 	 	2	8.68245e-05	2.92903e+11	8.13501e+06	0.00071875	0	-6.27085e-16
	 	 	3	1.90946e-05	2.92908e+11	8.13501e+06	0.000718752	0	-1.04514e-15
	 	 	4	4.53906e-06	2.9291e+11	8.13501e+06	0.000718752	0	-2.9264e-15
	 	 	5	1.13878e-06	2.9291e+11	8.13501e+06	0.000718752	0	3.55348e-15
	 	 	6	2.72023e-07	2.9291e+11	8.13501e+06	0.000718752	0	-2.09028e-16
	 	 	7	5.93266e-08	2.9291e+11	8.13501e+06	0.000718752	0	2.09028e-16
	 	 	8	1.17583e-08	2.9291e+11	8.13501e+06	0.000718752	0	1.4632e-15
	 	 	9	2.12272e-09	2.9291e+11	8.13501e+06	0.000718752	0	-1.67223e-15
	 8	1.46918e-06	8.13501e+06	0.578575	0.815629	1.40972	0.000718752	1.79787e-16	-1.67223e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.92899e+11	8.13494e+06	0.000718744	0	8.36113e-16
	 	 	2	2.98158e-05	2.92908e+11	8.13493e+06	0.000718747	0	8.36113e-16
	 	 	3	6.07764e-06	2.9291e+11	8.13492e+06	0.000718747	0	1.4632e-15
	 	 	4	1.38008e-06	2.9291e+11	8.13492e+06	0.000718747	0	-1.67223e-15
