HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L3_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../Earth_correct_params_S3.20c/Earth_correct_params_S3.20c_AM2.1/Output/Earth_correct_params_S3.20c_L2.1_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.17287e+11	7.65143e+06	0.000960499	0	1.39352e-15
	 	 	2	0.342023	2.36424e+11	7.9012e+06	0.000890068	0	-5.22571e-16
	 	 	3	0.0732355	2.20291e+11	7.9163e+06	0.000882766	0	8.70951e-16
	 	 	4	0.0205712	2.15851e+11	7.91568e+06	0.000882213	0	-2.43866e-15
	 	 	5	0.00559269	2.1465e+11	7.91529e+06	0.00088219	0	5.22571e-16
	 	 	6	0.00136186	2.14358e+11	7.9152e+06	0.000882192	0	6.96761e-16
	 	 	7	0.000298084	2.14295e+11	7.91518e+06	0.000882192	0	-6.96761e-16
	 	 	8	6.01866e-05	2.14282e+11	7.91518e+06	0.000882193	0	-5.22571e-16
	 	 	9	1.15006e-05	2.14279e+11	7.91517e+06	0.000882193	0	8.70951e-16
	 	 	10	2.12058e-06	2.14279e+11	7.91517e+06	0.000882193	0	0
	 	 	11	3.82475e-07	2.14279e+11	7.91517e+06	0.000882193	0	2.43866e-15
	 	 	12	6.80765e-08	2.14279e+11	7.91517e+06	0.000882193	0	-1.7419e-16
	 	 	13	1.20222e-08	2.14279e+11	7.91517e+06	0.000882193	0	-3.4838e-16
	 	 	14	2.11312e-09	2.14279e+11	7.91517e+06	0.000882193	0	-3.13542e-15
	 1	0.0321664	7.91517e+06	0.659207	0.751962	1.14071	0.000882193	-3.59574e-16	-3.13542e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	1.84797e+11	8.68322e+06	0.000855212	4	-1.7419e-16
	 	 	2	0.033112	1.91126e+11	8.85011e+06	0.000782704	1	-1.7419e-15
	 	 	3	0.117943	2.16682e+11	8.83551e+06	0.000768003	0	-1.7419e-15
