HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L3.3_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../Earth_correct_params_S3.20c/Earth_correct_params_S3.20c_AM3.0/Output/Earth_correct_params_S3.20c_L3_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.66012e+11	8.91991e+06	0.000819616	0	0
	 	 	2	0.100717	2.41671e+11	9.02699e+06	0.000796817	0	-2.21697e-15
	 	 	3	0.0240335	2.35999e+11	9.03323e+06	0.000794266	0	0
	 	 	4	0.00693854	2.34373e+11	9.03247e+06	0.000794147	0	1.26684e-15
	 	 	5	0.00192542	2.33923e+11	9.03216e+06	0.000794168	0	1.42519e-15
	 	 	6	0.000468045	2.33813e+11	9.0321e+06	0.000794175	0	9.50128e-16
	 	 	7	9.95144e-05	2.3379e+11	9.03209e+06	0.000794177	0	-1.10848e-15
	 	 	8	1.89374e-05	2.33786e+11	9.03209e+06	0.000794177	0	1.26684e-15
	 	 	9	3.3032e-06	2.33785e+11	9.03209e+06	0.000794177	0	3.4838e-15
	 	 	10	5.39774e-07	2.33785e+11	9.03209e+06	0.000794177	0	-1.58355e-15
	 	 	11	8.42633e-08	2.33785e+11	9.03209e+06	0.000794177	0	-7.91774e-16
	 	 	12	1.27757e-08	2.33785e+11	9.03209e+06	0.000794177	0	9.50128e-16
	 	 	13	1.90509e-09	2.33785e+11	9.03209e+06	0.000794177	0	1.10848e-15
	 1	0.00948072	9.03209e+06	0.487345	0.87321	1.79177	0.000794177	1.79787e-16	1.10848e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.22715e+11	9.39062e+06	0.000803645	1	0
	 	 	2	0.020778	2.18181e+11	9.51409e+06	0.000761093	3	-4.27558e-15
	 	 	3	0.0497497	2.29604e+11	9.50748e+06	0.000754052	0	1.7419e-15
	 	 	4	0.0412426	2.39481e+11	9.48482e+06	0.000754721	0	-4.43393e-15
	 	 	5	0.0220937	2.44891e+11	9.47445e+06	0.000756204	0	-7.91774e-16
	 	 	6	0.00889789	2.4709e+11	9.47284e+06	0.000756332	0	7.91774e-16
	 	 	7	0.00368676	2.48004e+11	9.47505e+06	0.000755262	0	1.7419e-15
	 	 	8	0.00314613	2.48787e+11	9.4725e+06	0.000755773	0	-1.42519e-15
	 	 	9	0.000829967	2.48994e+11	9.47236e+06	0.000755835	0	3.16709e-16
	 	 	10	0.000225177	2.4905e+11	9.47239e+06	0.000755837	0	2.53368e-15
	 	 	11	5.72953e-05	2.49064e+11	9.4724e+06	0.000755836	0	-6.33419e-16
	 	 	12	1.298e-05	2.49067e+11	9.4724e+06	0.000755835	0	2.53368e-15
	 	 	13	2.5855e-06	2.49068e+11	9.4724e+06	0.000755835	0	-4.75064e-16
	 	 	14	4.54808e-07	2.49068e+11	9.4724e+06	0.000755835	0	-9.50128e-16
	 	 	15	7.13079e-08	2.49068e+11	9.4724e+06	0.000755835	0	0
	 	 	16	1.00706e-08	2.49068e+11	9.4724e+06	0.000755835	0	1.58355e-16
	 	 	17	1.29817e-09	2.49068e+11	9.4724e+06	0.000755835	0	7.91774e-16
	 2	0.0210587	9.4724e+06	0.444705	0.895677	2.01409	0.000755835	0	7.91774e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.46652e+11	9.5591e+06	0.000764317	0	-4.75064e-16
	 	 	2	0.0130822	2.43467e+11	9.60537e+06	0.00075093	0	-2.21697e-15
	 	 	3	0.0115132	2.46303e+11	9.60574e+06	0.00074725	0	-1.90026e-15
	 	 	4	0.0127689	2.49489e+11	9.60059e+06	0.000746672	0	9.50128e-16
	 	 	5	0.00830046	2.51577e+11	9.59391e+06	0.000748062	0	-4.11722e-15
	 	 	6	0.00228516	2.52153e+11	9.59017e+06	0.000749555	0	-3.16709e-16
	 	 	7	0.00141759	2.51796e+11	9.59632e+06	0.000747749	0	6.33419e-16
	 	 	8	0.0016654	2.52216e+11	9.59402e+06	0.000748142	0	9.50128e-16
	 	 	9	0.000428332	2.52324e+11	9.59382e+06	0.0007482	0	1.42519e-15
	 	 	10	0.00012237	2.52355e+11	9.59383e+06	0.000748203	0	-6.33419e-16
	 	 	11	3.37725e-05	2.52364e+11	9.59384e+06	0.000748203	0	-1.42519e-15
	 	 	12	8.21211e-06	2.52366e+11	9.59384e+06	0.000748203	0	2.05861e-15
	 	 	13	1.7187e-06	2.52366e+11	9.59384e+06	0.000748203	0	2.37532e-15
	 	 	14	3.1053e-07	2.52366e+11	9.59384e+06	0.000748203	0	1.42519e-15
	 	 	15	4.88069e-08	2.52366e+11	9.59384e+06	0.000748203	0	9.50128e-16
